PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563,1380217,91.7%,243989,17.7%
Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,91.5%,1142,0.1%
Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,70.8%,197637,16.0%
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1746812,1299997,75.2%,80696,6.2%
Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1543162,1197849,78.5%,33293,2.8%
Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1618541,1407758,87.4%,111594,7.9%
Bankura,36,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248,1371855,78.3%,174333,12.7%
Barasat,17,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,1882204,1394766,75.1%,109983,7.9%
Bardhaman Purb,38,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1836635,1439286,79.0%,89311,6.2%
Barrackpore,15,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157,1104517,72.0%,14857,1.3%
Basirhat,18,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,1833511,1433339,78.7%,350369,24.4%
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1587802,1449423,92.1%,88924,6.1%
Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1740964,1420648,82.4%,78047,5.5%
Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137,1461269,79.1%,106402,7.3%
Burdwan - Durgapur,39,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,1905750,1433007,76.2%,2439,0.2%
Cooch Behar,1,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,1687773,1524683,91.2%,54231,3.6%
Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1519531,1267270,84.1%,413443,32.6%
Diamond Harbour,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1873955,1409002,76.1%,320594,22.8%
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699710,1204660,71.7%,53002,4.4%
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1931027,1488818,77.8%,107973,7.3%
Hooghly,28,GEN,West Bengal,Locket Chatterjee,Bharatiya Janta Party,1373449,1457842,107.1%,73362,5.0%
Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1796175,1222293,68.4%,103695,8.5%
Jadavpur,22,GEN,West Bengal,Mimi Chakraborty,All India Trinamool Congress,1990328,1436894,73.0%,295239,20.5%
Jalpaiguri,3,SC,West Bengal,Dr. Jayanta Kumar Roy,Bharatiya Janta Party,1618231,1500922,94.0%,184004,12.3%
Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1713293,1304504,76.8%,245782,18.8%
Jhargram,33,ST,West Bengal,Kunar Hembram,Bharatiya Janta Party,1522363,1406214,93.5%,11767,0.8%
Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1805964,1356102,75.7%,316775,23.4%
Kanthi,31,GEN,West Bengal,Adhikari Sisir,All India Trinamool Congress,1793513,1424247,79.9%,111668,7.8%
Kolkata Dakshin,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1904710,1206645,64.1%,155192,12.9%
Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1618835,950613,59.1%,127095,13.4%
Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1774833,1366443,77.4%,63218,4.6%
Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Chowdhury (DALU),Indian National Congress,1461017,1279202,88.4%,8222,0.6%
Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1569035,1354706,86.9%,84288,6.2%
Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1810407,1401953,77.8%,203974,14.5%
Medinipur,34,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,1815330,1409815,78.5%,88952,6.3%
Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1824697,1453755,80.5%,226417,15.6%
Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1761215,1355236,77.6%,204732,15.1%
Raiganj,5,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,1531944,1277109,84.3%,60574,4.7%
Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1974979,1484035,75.6%,233428,15.7%
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1983013,1401705,71.7%,98536,7.0%
Tamluk,30,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,1839886,1446499,79.2%,190165,13.1%
Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1775607,1311099,74.4%,215359,16.4%
